,PC1,PC2,PC3,PC4,PC5
SPY,0.56532027836705057,0.01651861962174456,0.25208448380187054,-0.24351858080574734,0.74652008137858661
TLT,-0.2914729186026932,0.57101617537646887,0.75905057907288342,0.11267062190728644,-0.011472338375540996
GLD,0.081060166152998631,0.80899119856663315,-0.571997826695259,-0.026059564801950812,0.1053654376121677
XLE,0.53219782672670757,0.0318827518777519,0.054803361674334715,0.83057567225833984,-0.15129311802547282
EEM,0.55285734441973899,0.13484952146242926,0.1735243765024275,-0.48730789394008328,-0.63920628168505356
