Date,SPY,TLT,GLD,XLE,EEM
2008-01-02,103.22969055175781,53.382381439208984,84.860000610351562,22.401750564575195,33.408058166503906
2008-01-03,103.17983245849609,53.308856964111328,85.569999694824219,22.666631698608398,33.708648681640625
2008-01-04,100.65125274658203,53.320140838623047,85.129997253417969,21.838191986083984,32.696147918701172
2008-01-07,100.56576538085938,53.552070617675781,84.769996643066406,21.753650665283203,32.935703277587891
2008-01-08,98.941802978515625,53.489837646484375,86.779998779296875,21.37324333190918,32.680324554443359
2008-01-09,99.981719970703125,53.591705322265625,86.550003051757812,21.655036926269531,33.7515869140625
2008-01-10,100.63700103759766,52.867698669433594,88.25,21.564855575561523,34.149360656738281
2008-01-11,99.825035095214844,53.280612945556641,88.580001831054688,21.302789688110352,33.188827514648438
2008-01-14,100.62989044189453,53.478553771972656,89.540000915527344,21.725469589233398,33.677009582519531
2008-01-15,98.414680480957031,54.078098297119141,87.989997863769531,20.826593399047852,32.153728485107422
2008-01-16,97.567138671875,53.68780517578125,86.699996948242188,20.133392333984375,30.815793991088867
2008-01-17,95.038551330566406,54.383510589599609,86.5,19.372587203979492,29.918537139892578
2008-01-18,94.062721252441406,54.010238647460938,87.419998168945312,19.41485595703125,30.601076126098633
2008-01-22,93.1082763671875,54.587177276611328,88.169998168945312,18.865379333496094,29.832660675048828
2008-01-23,95.344833374023438,54.462684631347656,87.889999389648438,19.040081024169922,30.022510528564453
2008-01-24,96.149696350097656,53.37109375,90.080001831054688,19.710725784301758,30.605600357055664
2008-01-25,94.760719299316406,54.270439147949219,90.300003051757812,19.358489990234375,30.140031814575195
2008-01-28,96.327728271484375,54.066806793212891,91.75,19.798076629638672,30.885843276977539
2008-01-29,96.80499267578125,53.699119567871094,91.150001525878906,20.020687103271484,30.734430313110352
2008-01-30,96.09271240234375,53.348468780517578,92.05999755859375,19.769905090332031,30.329866409301758
2008-01-31,97.844902038574219,53.727394104003906,91.400001525878906,19.612098693847656,30.937829971313477
2008-02-01,99.419029235839844,54.050376892089844,89.349998474121094,20.105218887329102,31.554817199707031
2008-02-04,98.165428161621094,53.494152069091797,89.099998474121094,20.119318008422852,31.652002334594727
2008-02-05,95.537094116210938,53.902797698974609,87.680000305175781,19.288051605224609,29.947914123535156
2008-02-06,94.76788330078125,53.738197326660156,88.949996948242188,19.023172378540039,29.457485198974609
2008-02-07,95.394676208496094,52.580310821533203,89.849998474121094,19.39794921875,29.956975936889648
2008-02-08,94.782112121582031,53.181968688964844,91,19.682550430297852,29.90046501159668
2008-02-11,95.266464233398438,53.403331756591797,91.330001831054688,20.189762115478516,30.271108627319336
2008-02-12,96.149696350097656,53.085487365722656,89.330001831054688,20.178485870361328,30.759284973144531
2008-02-13,97.132659912109375,52.523574829101562,89.44000244140625,20.668781280517578,31.450862884521484
2008-02-14,96.27789306640625,51.751674652099609,89.709999084472656,20.491266250610352,31.046308517456055
2008-02-15,96.256484985351562,52.148967742919922,89.150001525878906,20.527898788452148,31.267795562744141
2008-02-19,96.527175903320312,51.621147155761719,91.580001831054688,21.20417594909668,31.676860809326172
2008-02-20,96.812095642089844,51.978694915771484,93.239997863769531,21.457786560058594,31.941295623779297
2008-02-21,96.007225036621094,52.529300689697266,93.25,20.868856430053711,31.493810653686523
2008-02-22,96.598411560058594,52.228446960449219,93.389999389648438,21.105554580688477,31.916427612304688
2008-02-25,97.816413879394531,51.694919586181641,92.739997863769531,21.708572387695312,32.510814666748047
2008-02-26,98.550041198730469,51.711967468261719,93.709999084472656,22.077701568603516,32.940235137939453
2008-02-27,98.450325012207031,51.757316589355469,94.779998779296875,21.790285110473633,33.218219757080078
2008-02-28,97.48876953125,52.676822662353516,95.989997863769531,22.16505241394043,32.861125946044922
2008-02-29,95.316368103027344,53.482795715332031,96.180000305175781,21.429603576660156,31.554817199707031
2008-03-03,95.088401794433594,53.344928741455078,97.239997863769531,21.697299957275391,31.72657585144043
2008-03-04,94.72515869140625,52.826503753662109,95.180000305175781,21.274623870849609,30.989799499511719
2008-03-05,95.323448181152344,52.194156646728516,97.720001220703125,21.81001091003418,31.640691757202148
2008-03-06,93.350440979003906,52.473308563232422,96.5,21.37324333190918,30.555885314941406
2008-03-07,92.388893127441406,52.541671752929688,96.089996337890625,20.78431510925293,30.133255004882812
2008-03-10,91.170913696289062,53.316375732421875,95.870002746582031,20.527898788452148,29.604406356811523
