,realized_return,forecast_var,exception,rolling_exception_rate
2009-01-02,0.015017996144199415,-0.027169056218848946,0,
2009-01-05,-0.0063107996081550877,-0.027169056218848946,0,
2009-01-06,0.0046658706848525747,-0.027169056218848946,0,
2009-01-07,-0.025192040201000191,-0.027169056218848946,0,
2009-01-08,0.0053892586122165345,-0.027169056218848946,0,
2009-01-09,-0.014669360881231979,-0.027169056218848946,0,
2009-01-12,-0.020829640988133925,-0.027169056218848946,0,
2009-01-13,0.0040205107304039141,-0.027169056218848946,0,
2009-01-14,-0.020116590363059961,-0.027169056218848946,0,
2009-01-15,0.0040734444353490058,-0.027169056218848946,0,
2009-01-16,0.0054902669759626039,-0.027169056218848946,0,
2009-01-20,-0.030645229871184766,-0.027169056218848946,1,
2009-01-21,0.020878141169361139,-0.029107847554086574,0,
2009-01-22,-0.01628098323686443,-0.029107847554086574,0,
2009-01-23,0.010972275545653526,-0.029107847554086574,0,
2009-01-26,0.0042913910979552944,-0.029107847554086574,0,
2009-01-27,0.010926451851156871,-0.029107847554086574,0,
2009-01-28,0.013456121473248489,-0.029107847554086574,0,
2009-01-29,-0.02378244747654374,-0.029107847554086574,0,
2009-01-30,-0.0080284533841336447,-0.029107847554086574,0,
2009-02-02,-0.0032275510062053539,-0.029107847554086574,0,
2009-02-03,0.0037612862755834484,-0.029107847554086574,0,
2009-02-04,4.3438558505482015e-05,-0.029107847554086574,0,
2009-02-05,0.012305849522847946,-0.029107847554086574,0,
2009-02-06,0.016600842233995237,-0.029107847554086574,0,
2009-02-09,-0.00092541436027043756,-0.029107847554086574,0,
2009-02-10,-0.02037966546276062,-0.029107847554086574,0,
2009-02-11,0.010922039877171219,-0.029107847554086574,0,
2009-02-12,-0.0010905094232942837,-0.029107847554086574,0,
2009-02-13,-0.011216900112297272,-0.029107847554086574,0,
2009-02-17,-0.01791874068005983,-0.029107847554086574,0,
2009-02-18,-0.0020801114583513139,-0.029107847554086574,0,
2009-02-19,-0.011236019169806594,-0.029107847554086574,0,
2009-02-20,-0.0033909560697544475,-0.029107847554086574,0,
2009-02-23,-0.019244186337988821,-0.029107847554086574,0,
2009-02-24,0.020479138603947868,-0.029107847554086574,0,
2009-02-25,-0.010845618672704537,-0.029107847554086574,0,
2009-02-26,-0.0099160306459812695,-0.029107847554086574,0,
2009-02-27,-0.015068381789275066,-0.029107847554086574,0,
2009-03-02,-0.030025689162080375,-0.029107847554086574,1,
2009-03-03,-0.0042385514922636822,-0.030304482481177345,0,
2009-03-04,0.018381532102317962,-0.030304482481177345,0,
2009-03-05,-0.012852088683813316,-0.030304482481177345,0,
2009-03-06,0.0023008865076149859,-0.030304482481177345,0,
2009-03-09,-0.010722003569659517,-0.030304482481177345,0,
2009-03-10,0.028208681674722,-0.030304482481177345,0,
2009-03-11,0.0067316297613040808,-0.030304482481177345,0,
2009-03-12,0.026946676723457044,-0.030304482481177345,0,
2009-03-13,0.0018482998412178097,-0.030304482481177345,0,
2009-03-16,-0.0046100818094626846,-0.030304482481177345,0,
2009-03-17,0.015248722835379609,-0.030304482481177345,0,
2009-03-18,0.026611741611159721,-0.030304482481177345,0,
2009-03-19,-0.00085527856454155088,-0.030304482481177345,0,
2009-03-20,-0.016385937019795113,-0.030304482481177345,0,
2009-03-23,0.041625840176570325,-0.030304482481177345,0,
2009-03-24,-0.012336899469029527,-0.030304482481177345,0,
2009-03-25,0.0035717038108848084,-0.030304482481177345,0,
2009-03-26,0.01455428542315116,-0.030304482481177345,0,
2009-03-27,-0.013312113101950667,-0.030304482481177345,0,
