,start,end,observations,cumulative_return,max_drawdown,realized_window_var,magnitude_ratio_to_full_sample_var,backtest_observations,backtest_exceptions,backtest_exception_rate
2008 Financial Crisis,2008-09-02,2009-03-31,146,-0.1692464895773531,-0.26362873505911444,-0.036103275181317465,3.185240658411247,61,2,0.03278688524590164
COVID Crash,2020-02-19,2020-03-23,24,-0.20900101041866737,-0.22477056331552236,-0.05959452783783835,5.257775427148288,24,9,0.375
2022 Rate Hikes,2022-01-03,2022-12-30,251,-0.12442227864484101,-0.19060713450646288,-0.015899884326020224,1.4027801567843023,251,29,0.11553784860557768
